Common,Scientific,Type,Abundance,Category,Abbreviation
Cattle Egret,Bubulcus ibis,"Scarce Visitor, Has Bred",10 - 100 Birds,EC,CATEG
Grey Heron,Ardea cinerea,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs",H.,GREHE
Great Blue Heron,Ardea herodias,Accidental,1-10 Records,,
Purple Heron,Ardea purpurea,"Scarce Visitor, Has Bred",10 - 100 Birds,UR,PURHE
Great White Egret,Ardea alba,"Scarce Visitor, Has Bred",10 - 100 Birds,HW,GRWEG
Snowy Egret,Egretta thula,Accidental,1-10 Records,NY,
Little Egret,Egretta garzetta,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,ET,LITEG
Dalmatian Pelican,Pelecanus crispus,Accidental,1-10 Records,,
Osprey,Pandion haliaetus,"Migrant Breeder, Passage Visitor",100-500 Pairs,OP,OSPRE
Egyptian Vulture,Neophron percnopterus,Not Recorded since 1868,,,EGYVU
Honey-buzzard,Pernis apivorus,"Migrant Breeder, Passage Visitor",100-500 Pairs,HZ,HONBU
Short-toed Eagle,Circaetus gallicus,Accidental,1-10 Records,,SHTEA
Spotted Eagle,Clanga clanga,Not Recorded since 1915,,,SPOEA
Golden Eagle,Aquila chrysaetos,Resident Breeder,100-500 Pairs,EA,GOLEA
Sparrowhawk,Accipiter nisus,"Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",SH,SPARR
Goshawk,Accipiter gentilis,Re-introduced Breeder,100-500 Pairs,GI,GOSHA
Marsh Harrier,Circus aeruginosus,"Migrant/Resident Breeder, Passage Visitor",100-500 Pairs,MR,MARHA
Hen Harrier,Circus cyaneus,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,HH,HENHA
Northern Harrier,Circus hudsonius,Accidental,1-10 Records,,
Pallid Harrier,Circus macrourus,Accidental,10 - 100 Records,HI,PALHA
Montagu’s Harrier,Circus pygargus,"Migrant Breeder, Passage Visitor",10 - 100 Pairs,MO,MONHA
Red Kite,Milvus milvus,"Resident/Introduced Breeder, Passage Visitor","1,000 - 10,000 Pairs",KT,REDKI
Black Kite,Milvus migrans,Scarce Visitor,10 - 100 Birds,KB,BLAKI
White-tailed Eagle,Haliaeetus albicilla,"Re-introduced Breeder, Accidental",10 - 100 Pairs,WE,WHTEA
Rough-legged Buzzard,Buteo lagopus,Passage/Winter Visitor,10 - 100 Birds,RF,ROLBU
Buzzard,Buteo buteo,"Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",BZ,BUZZA
Barn Owl,Tyto alba,Resident Breeder,"1,000 - 10,000 Pairs",BO,BAROW
Scops Owl,Otus scops,Accidental,10 - 100 Records,IQ,SCOOW
Snowy Owl,Bubo scandiacus,"Accidental, Former Breeder",100-500 Records,SO,SNOOW
Eurasian Eagle-Owl,Bubo bubo,Escaped (?) Breeder,,EO,EAGOW
Tawny Owl,Strix aluco,Resident Breeder,"10,000 - 100,000 Pairs",TO,TAWOW
Hawk Owl,Surnia ulula,Accidental,1-10 Records,,HAWOW
Little Owl,Athene noctua,Introduced Breeder,"1,000 - 10,000 Pairs",LO,LITOW
Tengmalm’s Owl,Aegolius funereus,Accidental,1-10 Records,,TENOW
Long-eared Owl,Asio otus,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",LE,LOEOW
Short-eared Owl,Asio flammeus,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",SE,SHEOW
Hoopoe,Upupa epops,"Scarce Visitor, Has Bred",100-500 Birds,HP,HOOPO
Roller,Coracias garrulus,Accidental,100-500 Records,,ROLLE
Kingfisher,Alcedo atthis,Migrant/Resident Breeder,"1,000 - 10,000 Pairs",KF,KINGF
Belted Kingfisher,Megaceryle alcyon,Accidental,1-10 Records,,BELKI
Blue-cheeked Bee-eater,Merops persicus,Accidental,1-10 Records,,BLCBE
Bee-eater,Merops apiaster,"Scarce Visitor, Has Bred",10 - 100 Birds,MZ,BEEEA
Wryneck,Jynx torquilla,"Former Breeder, Scarce Visitor",100-500 Birds,WY,WRYNE
Yellow-bellied Sapsucker,Sphyrapicus varius,Accidental,1-10 Records,,YEBSA
Lesser Spotted Woodpecker,Dryobates minor,Resident Breeder,"1,000 - 10,000 Pairs",LS,LESWO
Great Spotted Woodpecker,Dendrocopos major,"Resident Breeder, Scarce Visitor","100,000 - 500,000 Pairs",GS,GRSWO
Green Woodpecker,Picus viridis,Resident Breeder,"10,000 - 100,000 Pairs",G.,GREWO
Lesser Kestrel,Falco naumanni,Accidental,10 - 100 Records,,LESKE
Kestrel,Falco tinnunculus,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",K.,KESTR
American Kestrel,Falco sparverius,Accidental,1-10 Records,,AMEKE
Red-footed Falcon,Falco vespertinus,Scarce Visitor,10 - 100 Birds,FV,REFFA
Amur Falcon,Falco amurensis,Accidental,1-10 Records,,
Eleonora’s Falcon,Falco eleonorae,Accidental,1-10 Records,,ELEFA
Merlin,Falco columbarius,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",ML,MERLI
Hobby,Falco subbuteo,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs",HY,HOBBY
Gyrfalcon,Falco rusticolus,Accidental,100-500 Records,YF,GYRFA
Peregrine,Falco peregrinus,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs",PE,PEREG
Ring-necked Parakeet,Psittacula krameri,Introduced Breeder,"1,000 - 10,000 Pairs",RI,RINPA
Eastern Phoebe,Sayornis phoebe,Accidental,1-10 Records,,
Acadian Flycatcher,Empidonax virescens,Accidental,1-10 Records,,
Alder Flycatcher,Empidonax alnorum,Accidental,1-10 Records,,
Eastern Kingbird,Tyrannus tyrannus,Accidental,1-10 Records,,
Brown Shrike,Lanius cristatus,Accidental,10 - 100 Records,,
Red-backed Shrike,Lanius collurio,"Former Breeder, Scarce Visitor",100-500 Birds,ED,REBSH
Daurian Shrike,Lanius isabellinus,Accidental,100-500 Records,IL,ISASH
Turkestan Shrike,Lanius phoenicuroides,Accidental,1-10 Records,,
Long-tailed Shrike,Lanius schach,Accidental,1-10 Records,,
Lesser Grey Shrike,Lanius minor,Accidental,100-500 Records,,LEGSH
Great Grey Shrike,Lanius excubitor,Passage/Winter Visitor,10 - 100 Birds,SR,GRGSH
Woodchat Shrike,Lanius senator,Scarce Visitor,10 - 100 Birds,OO,WOOSH
Masked Shrike,Lanius nubicus,Accidental,1-10 Records,,MASSH
Yellow-throated Vireo,Vireo flavifrons,Accidental,1-10 Records,,
Philadelphia Vireo,Vireo philadelphicus,Accidental,1-10 Records,,PHIVI
Red-eyed Vireo,Vireo olivaceus,Accidental,100-500 Records,EV,REEVI
Golden Oriole,Oriolus oriolus,"Scarce Breeder, Passage Visitor",1-10 Pairs,OL,GOLOR
Jay,Garrulus glandarius,Resident Breeder,"100,000 - 500,000 Territories",J.,JAY..
Magpie,Pica pica,Resident Breeder,"500,000 - 1 million Territories",MG,MAGPI
Nutcracker,Nucifraga caryocatactes,Accidental,,NC,NUTCR
Chough,Pyrrhocorax pyrrhocorax,Resident Breeder,100-500 Pairs,CF,CHOUG
Jackdaw,Coloeus monedula,"Resident Breeder, Winter Visitor",1.3 million Pairs,JD,JACKD
Rook,Corvus frugilegus,"Resident Breeder, Winter Visitor","500,000 - 1 million Pairs",RO,ROOK.
Carrion Crow,Corvus corone,"Resident Breeder, Winter Visitor",1 million Territories,C.,CARCR
Hooded Crow,Corvus cornix,"Resident Breeder, Winter Visitor","100,000 - 500,000 Territories",HC,HOOCR
Raven,Corvus corax,Resident Breeder,"1,000 - 10,000 Pairs",RN,RAVEN
Waxwing,Bombycilla garrulus,Winter Visitor,"10,000 - 100,000 Birds",WX,WAXWI
Cedar Waxwing,Bombycilla cedrorum,Accidental,1-10 Records,,
Coal Tit,Periparus ater,Resident Breeder,"500,000 - 1 million Territories",CT,COATI
Crested Tit,Lophophanes cristatus,Resident Breeder,"1,000 - 10,000 Pairs",CI,CRETI
Marsh Tit,Poecile palustris,Resident Breeder,"10,000 - 100,000 Territories",MT,MARTI
Willow Tit,Poecile montanus,Resident Breeder,"1,000 - 10,000 Pairs",WT,WILTI
Blue Tit,Cyanistes caeruleus,"Resident Breeder, Winter Visitor",3.4 million Territories,BT,BLUTI
Great Tit,Parus major,"Resident Breeder, Winter Visitor",2.5 million Territories,GT,GRETI
Penduline Tit,Remiz pendulinus,Scarce Visitor,10 - 100 Birds,DT,PENTI
Bearded Tit,Panurus biarmicus,"Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,BR,BEATI
Woodlark,Lullula arborea,"Resident/Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs",WL,WOODL
White-winged Lark,Alauda leucoptera,Accidental,1-10 Records,,WHWLA
Skylark,Alauda arvensis,"Resident Breeder, Passage/Winter Visitor",1.4 million Territories,S.,SKYLA
Crested Lark,Galerida cristata,Accidental,10 - 100 Records,,CRELA
Shore Lark,Eremophila alpestris,"Scarce Breeder, Winter Visitor",10 - 100 Birds,SX,SHOLA
Short-toed Lark,Calandrella brachydactyla,Scarce Visitor,10 - 100 Birds,VL,SHTLA
Bimaculated Lark,Melanocorypha bimaculata,Accidental,1-10 Records,,BIMLA
Calandra Lark,Melanocorypha calandra,Accidental,10 - 100 Records,,CALLA
Black Lark,Melanocorypha yeltoniensis,Accidental,1-10 Records,,
Lesser Short-toed Lark,Alaudala rufescens,Accidental,1-10 Records,,LSTLA
Sand Martin,Riparia riparia,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Nests",SM,SANMA
Tree Swallow,Tachycineta bicolor,Accidental,1-10 Records,,
Purple Martin,Progne subis,Accidental,1-10 Records,,
Swallow,Hirundo rustica,"Migrant Breeder, Passage Visitor","500,000 - 1 million Territories",SL,SWALL
Crag Martin,Ptyonoprogne rupestris,Accidental,10 - 100 Records,,CRAMA
House Martin,Delichon urbicum,"Migrant Breeder, Passage Visitor","500,000 - 1 million Pairs",HM,HOUMA
Red-rumped Swallow,Cecropis daurica,Scarce Visitor,10 - 100 Birds,VR,RERSW
American Cliff Swallow,Petrochelidon pyrrhonota,Accidental,1-10 Records,,CLISW
Cetti’s Warbler,Cettia cetti,"Resident Breeder, Passage Visitor","1,000 - 10,000 Males",CW,CETWA
Long-tailed Tit,Aegithalos caudatus,Resident Breeder,"100,000 - 500,000 Territories",LT,LOTTI
Wood Warbler,Phylloscopus sibilatrix,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males",WO,WOOWA
Western Bonelli’s Warbler,Phylloscopus bonelli,Accidental,100-500 Records,IW,BONWA
Eastern Bonelli’s Warbler,Phylloscopus orientalis,Accidental,1-10 Records,,EABWA
Hume’s Warbler,Phylloscopus humei,Accidental,100-500 Records,,HULWA
Yellow-browed Warbler,Phylloscopus inornatus,Passage/Winter Visitor,"1,000 - 10,000 Birds",YB,YEBWA
Pallas’s Warbler,Phylloscopus proregulus,Scarce Visitor,10 - 100 Birds,PA,PALWA
Radde’s Warbler,Phylloscopus schwarzi,Scarce Visitor,10 - 100 Birds,,RADWA
Dusky Warbler,Phylloscopus fuscatus,Scarce Visitor,10 - 100 Birds,UY,DUSWA
Willow Warbler,Phylloscopus trochilus,"Migrant Breeder, Passage Visitor",2.2 million Territories,WW,WILWA
Chiffchaff,Phylloscopus collybita,"Migrant Breeder, Passage/Winter Visitor",1.1 million Territories,CC,CHIFF
Iberian Chiffchaff,Phylloscopus ibericus,"Accidental, Has Bred",10 - 100 Records,IR,IBECH
Eastern Crowned Warbler,Phylloscopus coronatus,Accidental,1-10 Records,,
Green Warbler,Phylloscopus nitidus,Accidental,1-10 Records,,GRNWA
Two-barred Greenish Warbler,Phylloscopus plumbeitarsus,Accidental,1-10 Records,,
Greenish Warbler,Phylloscopus trochiloides,Scarce Visitor,10 - 100 Birds,,GSHWA
Pale-legged Leaf Warbler,Phylloscopus tenellipes,Accidental,1-10 Records,,
Arctic Warbler,Phylloscopus borealis,Scarce Visitor,100-500 Records,AP,ARCWA
Great Reed Warbler,Acrocephalus arundinaceus,Accidental,100-500 Records,QW,GRRWA
Aquatic Warbler,Acrocephalus paludicola,Passage Visitor,10 - 100 Birds,AQ,AQUWA
Sedge Warbler,Acrocephalus schoenobaenus,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Territories",SW,SEDWA
Paddyfield Warbler,Acrocephalus agricola,Accidental,100-500 Records,PY,PADWA
Blyth’s Reed Warbler,Acrocephalus dumetorum,Scarce Visitor,10 - 100 Birds,DU,BLRWA
Reed Warbler,Acrocephalus scirpaceus,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Pairs",RW,REEWA
Marsh Warbler,Acrocephalus palustris,"Scarce Visitor, Scarce Breeder",10 - 100 Birds,MW,MARWA
Thick-billed Warbler,Arundinax aedon,Accidental,1-10 Records,,THBWA
Booted Warbler,Iduna caligata,Accidental,100-500 Records,DM,BOOWA
Sykes’s Warbler,Iduna rama,Accidental,10 - 100 Records,,SYKWA
Eastern Olivaceous Warbler,Iduna pallida,Accidental,10 - 100 Records,,EAOWA
Olive-tree Warbler,Hippolais olivetorum,Accidental,1-10 Records,,
Melodious Warbler,Hippolais polyglotta,Scarce Visitor,10 - 100 Birds,ME,MELWA
Icterine Warbler,Hippolais icterina,"Scarce Visitor, Scarce Breeder",10 - 100 Birds,IC,ICTWA
Pallas’s Grasshopper Warbler,Helopsaltes certhiola,Accidental,10 - 100 Records,,PAGWA
Lanceolated Warbler,Locustella lanceolata,Accidental,100-500 Records,,LANWA
Grasshopper Warbler,Locustella naevia,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories",GH,GRAWA
River Warbler,Locustella fluviatilis,Accidental,10 - 100 Records,VW,RIVWA
Savi’s Warbler,Locustella luscinioides,"Scarce Visitor, Scarce Breeder",500 - 1000 Records,VI,SAVWA
Zitting Cisticola,Cisticola juncidis,Accidental,1-10 Records,FZ,FATWA
Blackcap,Sylvia atricapilla,"Migrant Breeder, Passage/Winter Visitor",1.1 million Territories,BC,BLACA
Garden Warbler,Sylvia borin,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Territories",GW,GARWA
Barred Warbler,Sylvia nisoria,Scarce Visitor,100-500 Birds,RR,BARWA
Lesser Whitethroat,Sylvia curruca,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories",LW,LESWH
Western Orphean Warbler,Sylvia hortensis,Accidental,1-10 Records,,ORPWA
Eastern Orphean Warbler,Sylvia crassirostris,Accidental,1-10 Records,,
Asian Desert Warbler,Sylvia nana,Accidental,10 - 100 Records,DA,DESWA
Whitethroat,Sylvia communis,"Migrant Breeder, Passage Visitor",1.1 million Territories,WH,WHITE
Dartford Warbler,Sylvia undata,Resident Breeder,"1,000 - 10,000 Pairs",DW,DARWA
Marmora’s Warbler,Sylvia sarda,Accidental,1-10 Records,,MAMWA
Spectacled Warbler,Sylvia conspicillata,Accidental,1-10 Records,VY,SPEWA
Subalpine Warbler,Sylvia cantillans,Scarce Visitor,10 - 100 Birds,VZ,SUBWA
Moltoni's Subalpine Warbler,Sylvia subalpina,Accidental,1-10 Records,,
Sardinian Warbler,Sylvia melanocephala,Accidental,10 - 100 Records,VX,SARWA
Rüppell’s Warbler,Sylvia ruppeli,Accidental,1-10 Records,,RUPWA
Firecrest,Regulus ignicapilla,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Territories,FC,FIREC
Goldcrest,Regulus regulus,"Resident Breeder, Passage/Winter Visitor","500,000 - 1 million Territories",GC,GOLDC
Wren,Troglodytes troglodytes,"Resident Breeder, Passage/Winter Visitor",7.7 million Territories,WR,WREN.
Nuthatch,Sitta europaea,Resident Breeder,"100,000 - 500,000 Territories",NH,NUTHA
Red-breasted Nuthatch,Sitta canadensis,Accidental,1-10 Records,,
Wallcreeper,Tichodroma muraria,Accidental,1-10 Records,,WALLC
Treecreeper,Certhia familiaris,Resident Breeder,"100,000 - 500,000 Territories",TC,TREEC
Short-toed Treecreeper,Certhia brachydactyla,Accidental,10 - 100 Records,TH,SHTTR
Grey Catbird,Dumetella carolinensis,Accidental,1-10 Records,,
Northern Mockingbird,Mimus polyglottos,Accidental,1-10 Records,,
Brown Thrasher,Toxostoma rufum,Accidental,1-10 Records,,BROTH
Rose-coloured Starling,Pastor roseus,Scarce Visitor,10 - 100 Birds,OE,ROCST
Starling,Sturnus vulgaris,"Resident Breeder, Passage/Winter Visitor",1.8 million Pairs,SG,STARL
Siberian Thrush,Geokichla sibirica,Accidental,10 - 100 Records,,SIBTH
White’s Thrush,Zoothera aurea,Accidental,10 - 100 Records,,WHITH
Varied Thrush,Ixoreus naevius,Accidental,1-10 Records,VT,
Veery,Catharus fuscescens,Accidental,10 - 100 Records,,VEERY
Grey-cheeked Thrush,Catharus minimus,Accidental,10 - 100 Records,,GRATH
Swainson’s Thrush,Catharus ustulatus,Accidental,10 - 100 Records,,SWATH
Hermit Thrush,Catharus guttatus,Accidental,10 - 100 Records,,HERTH
Wood Thrush,Hylocichla mustelina,Accidental,1-10 Records,,
Ring Ouzel,Turdus torquatus,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Territories",RZ,RINOU
Blackbird,Turdus merula,"Migrant/Resident Breeder, Passage/Winter Visitor",4.9 million Pairs,B.,BLABI
Eyebrowed Thrush,Turdus obscurus,Accidental,10 - 100 Records,,EYBTH
Black-throated Thrush,Turdus atrogularis,Accidental,10 - 100 Records,XC,BLTTH
Red-throated Thrush,Turdus ruficollis,Accidental,1-10 Records,,RETTH
Naumann's Thrush,Turdus naumanni,Accidental,1-10 Records,,
Dusky Thrush,Turdus eunomus,Accidental,10 - 100 Records,,DUSTH
Fieldfare,Turdus pilaris,"Scarce Breeder, Passage/Winter Visitor","500,000 - 1 million Birds",FF,FIELD
Redwing,Turdus iliacus,"Migrant/Resident Breeder, Passage/Winter Visitor","500,000 - 1 million Birds",RE,REDWI
Song Thrush,Turdus philomelos,"Migrant/Resident Breeder, Passage/Winter Visitor",1.1 million Territories,ST,SONTH
Mistle Thrush,Turdus viscivorus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Territories",M.,MISTH
American Robin,Turdus migratorius,Accidental,10 - 100 Records,AR,AMERO
Rufous-tailed Scrub Robin,Cercotrichas galactotes,Accidental,1-10 Records,,RUBRO
Spotted Flycatcher,Muscicapa striata,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories",SF,SPOFL
Asian Brown Flycatcher,Muscicapa dauurica,Accidental,1-10 Records,,
Robin,Erithacus rubecula,"Migrant/Resident Breeder, Passage/Winter Visitor",6 million Territories,R.,ROBIN
Siberian Blue Robin,Larvivora cyane,Accidental,1-10 Records,,
Rufous-tailed Robin,Larvivora sibilans,Accidental,1-10 Records,,RUTRO
Bluethroat,Luscinia svecica,"Scarce Breeder, Passage Visitor",10 - 100 Birds,BU,BLUTH
Thrush Nightingale,Luscinia luscinia,Accidental,100-500 Records,FN,THRNI
Nightingale,Luscinia megarhynchos,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males",N.,NIGAL
White-throated Robin,Irania gutturalis,Accidental,1-10 Records,,WHTRO
Siberian Rubythroat,Calliope calliope,Accidental,10 - 100 Records,,SIBRU
Red-flanked Bluetail,Tarsiger cyanurus,Scarce Visitor,100-500 Records,,REFBL
Pied Flycatcher,Ficedula hypoleuca,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",PF,PIEFL
Collared Flycatcher,Ficedula albicollis,Accidental,10 - 100 Records,,COLFL
Red-breasted Flycatcher,Ficedula parva,Scarce Visitor,100-500 Birds,FY,REBFL
Taiga Flycatcher,Ficedula albicilla,Accidental,1-10 Records,,TAIFL
Black Redstart,Phoenicurus ochruros,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,BX,BLARE
Redstart,Phoenicurus phoenicurus,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Pairs",RT,REDST
Moussier’s Redstart,Phoenicurus moussieri,Accidental,1-10 Records,,MOURE
Rock Thrush,Monticola saxatilis,Accidental,10 - 100 Records,OH,ROCTH
Blue Rock Thrush,Monticola solitarius,Accidental,1-10 Records,,BLRTH
Whinchat,Saxicola rubetra,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",WC,WHINC
Stonechat,Saxicola rubicola,Migrant/Resident Breeder,"10,000 - 100,000 Pairs",SC,STOCH
Siberian Stonechat,Saxicola maurus,Accidental,100-500 Records,,
Stejneger's Stonechat,Saxicola stejnegeri,Accidental,1-10 Records,,
Wheatear,Oenanthe oenanthe,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Pairs",W.,WHEAT
Isabelline Wheatear,Oenanthe isabellina,Accidental,10 - 100 Records,,ISAWH
Desert Wheatear,Oenanthe deserti,Accidental,100-500 Records,,DESWH
Black-eared Wheatear,Oenanthe hispanica,Scarce Visitor,10 - 100 Records,,BLEWH
Pied Wheatear,Oenanthe pleschanka,Accidental,10 - 100 Records,PI,PIEWH
White-crowned Black Wheatear,Oenanthe leucopyga,Accidental,1-10 Records,,WHCBL
Dipper,Cinclus cinclus,Resident Breeder,"10,000 - 100,000 Pairs",DI,DIPPE
House Sparrow,Passer domesticus,Resident Breeder,5.1 million Pairs,HS,HOUSP
Spanish Sparrow,Passer hispaniolensis,Accidental,10 - 100 Records,,SPASP
Tree Sparrow,Passer montanus,"Resident Breeder, Passage Visitor","100,000 - 500,000 Territories",TS,TRESP
Rock Sparrow,Petronia petronia,Accidental,1-10 Records,,ROCSP
Alpine Accentor,Prunella collaris,Accidental,10 - 100 Records,,ALPAC
Siberian Accentor,Prunella montanella,Accidental,10 - 100 Records,,
Dunnock,Prunella modularis,"Resident Breeder, Passage/Winter Visitor",2.3 million Territories,D.,DUNNO
Yellow Wagtail,Motacilla flava,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories",YW,YELWA
Eastern Yellow Wagtail,Motacilla tschutschensis,Accidental,1-10 Records,,
Citrine Wagtail,Motacilla citreola,Scarce Visitor,10 - 100 Birds,IZ,CITWA
Grey Wagtail,Motacilla cinerea,"Resident Breeder, Passage Visitor","10,000 - 100,000 Pairs",GL,GREWA
Pied Wagtail,Motacilla alba,"Migrant/Resident Breeder, Passage Visitor","100,000 - 500,000 Pairs",PW,PIEWA
Richard’s Pipit,Anthus richardi,Scarce Visitor,100-500 Birds,PR,RICPI
Blyth’s Pipit,Anthus godlewskii,Accidental,10 - 100 Records,,BLYPI
Tawny Pipit,Anthus campestris,Accidental,10 - 100 Birds,TI,TAWPI
Meadow Pipit,Anthus pratensis,"Migrant/Resident Breeder, Passage/Winter Visitor",1.9 million Pairs,MP,MEAPI
Tree Pipit,Anthus trivialis,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs",TP,TREPI
Olive-backed Pipit,Anthus hodgsoni,Scarce Visitor,10 - 100 Birds,OV,OLBPI
Pechora Pipit,Anthus gustavi,Scarce Visitor,100-500 Records,,PECPI
Red-throated Pipit,Anthus cervinus,Accidental,500 - 1000 Records,VP,RETPI
Buff-bellied Pipit,Anthus rubescens,Accidental,10 - 100 Records,,AMEPI
Water Pipit,Anthus spinoletta,Passage/Winter Visitor,100-500 Birds,WI,WATPI
Rock Pipit,Anthus petrosus,"Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",RC,ROCPI
Chaffinch,Fringilla coelebs,"Resident Breeder, Passage/Winter Visitor",5.8 million Territories,CH,CHAFF
Brambling,Fringilla montifringilla,"Scarce Breeder, Passage/Winter Visitor","100,000 - 500,000 Birds",BL,BRAMB
Evening Grosbeak,Hesperiphona vespertina,Accidental,1-10 Records,,EVEGR
Hawfinch,Coccothraustes coccothraustes,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,HF,HAWFI
Pine Grosbeak,Pinicola enucleator,Accidental,1-10 Records,,PINGR
Bullfinch,Pyrrhula pyrrhula,"Resident Breeder, Scarce Visitor","100,000 - 500,000 Territories",BF,BULLF
Trumpeter Finch,Bucanetes githagineus,Accidental,10 - 100 Records,,TRUFI
Common Rosefinch,Carpodacus erythrinus,"Scarce Breeder, Passage Visitor",100-500 Birds,SQ,SCARO
Greenfinch,Chloris chloris,"Resident Breeder, Winter Visitor",1.7 million Pairs,GR,GREFI
Twite,Linaria flavirostris,"Migrant/Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs",TW,TWITE
Linnet,Linaria cannabina,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Territories",LI,LINNE
Common Redpoll,Acanthis flammea,"Scarce Breeder, Passage/Winter Visitor",100-500 Birds,FR,COMRE
Lesser Redpoll,Acanthis cabaret,Migrant/Resident Breeder,"100,000 - 500,000 Pairs",LR,LESRE
Arctic Redpoll,Acanthis hornemanni,Scarce Visitor,10 - 100 Birds,AL,ARCRE
Parrot Crossbill,Loxia pytyopsittacus,"Scarce Visitor, Occasional Breeder",100-500 Records,PC,PARCR
Scottish Crossbill,Loxia scotica,Endemic Breeder,"1,000 - 10,000 Pairs",CY,SCOCR
Common Crossbill,Loxia curvirostra,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs",CR,CROSS
Two-barred Crossbill,Loxia leucoptera,Scarce Visitor,100-500 Records,PD,TWBCR
Goldfinch,Carduelis carduelis,Migrant/Resident Breeder,1.2 million Pairs,GO,GOLDF
Citril Finch,Carduelis citrinella,Accidental,1-10 Records,,CITFI
Serin,Serinus serinus,"Scarce Visitor, Has bred",10 - 100 Birds,NS,SERIN
Siskin,Spinus spinus,"Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs",SK,SISKI
Lapland Bunting,Calcarius lapponicus,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,LA,LAPBU
Snow Bunting,Plectrophenax nivalis,"Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,SB,SNOBU
Corn Bunting,Emberiza calandra,"Resident Breeder, Passage Visitor","10,000 - 100,000 Territories",CB,CORBU
Yellowhammer,Emberiza citrinella,"Resident Breeder, Passage/Winter Visitor","500,000 - 1 million Territories",Y.,YELHA
Pine Bunting,Emberiza leucocephalos,Accidental,10 - 100 Records,EL,PINBU
Rock Bunting,Emberiza cia,Accidental,1-10 Records,,ROCBU
Ortolan Bunting,Emberiza hortulana,Scarce Visitor,10 - 100 Birds,OB,ORTBU
Cretzschmar’s Bunting,Emberiza caesia,Accidental,1-10 Records,,CREBU
Cirl Bunting,Emberiza cirlus,Resident Breeder,"1,000 - 10,000 Territories",CL,CIRBU
Chestnut-eared Bunting,Emberiza fucata,Accidental,1-10 Records,,CHABU
Little Bunting,Emberiza pusilla,Scarce Visitor,10 - 100 Birds,LJ,LITBU
Yellow-browed Bunting,Emberiza chrysophrys,Accidental,1-10 Records,,YEBBU
Rustic Bunting,Emberiza rustica,Accidental,500 - 1000 Records,,RUSBU
Yellow-breasted Bunting,Emberiza aureola,Accidental,100-500 Records,YO,YBSBU
Chestnut Bunting,Emberiza rutila,Accidental,1-10 Records,,
Black-headed Bunting,Emberiza melanocephala,Accidental,100-500 Records,,BLHBU
Black-faced Bunting,Emberiza spodocephala,Accidental,1-10 Records,,
Pallas’s Reed Bunting,Emberiza pallasi,Accidental,1-10 Records,,PARBU
Reed Bunting,Emberiza schoeniclus,"Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Territories",RB,REEBU
Song Sparrow,Melospiza melodia,Accidental,1-10 Records,,SONSP
White-crowned Sparrow,Zonotrichia leucophrys,Accidental,1-10 Records,,WHCSP
White-throated Sparrow,Zonotrichia albicollis,Accidental,10 - 100 Records,,WHTSP
Dark-eyed Junco,Junco hyemalis,Accidental,10 - 100 Records,JU,DAEJU
